Part,%C,%Si,%Mn,%P,%S,%Cu,%Cr,%Ni,%Mo,%Sn,%Mg,%Ti,%Al,%B,%V,%Sb,%Nb,%Ce,%CE,%Reject
1,3.51,2.53,0.325,0.022,0.009,0.159,0.034,0.011,0.007,0.007,0.039,0.022,0.007,0.001,0.003,0.001,0,0,4.279,79.11
1,3.55,2.77,0.294,0.018,0.008,0.077,0.025,0.009,0.007,0.007,0.043,0.022,0.006,0.001,0.002,0.002,0,0,4.316,79.11
0,3.53,2.64,0.325,0.022,0.008,0.174,0.034,0.011,0.008,0.008,0.037,0.022,0.006,0.001,0.003,0.002,0,0,4.331,5.16
0,3.58,2.69,0.326,0.022,0.008,0.173,0.034,0.01,0.008,0.008,0.042,0.022,0.007,0.001,0.003,0.002,0,0,4.398,5.16
0,3.57,2.69,0.326,0.023,0.008,0.173,0.034,0.011,0.008,0.008,0.04,0.022,0.007,0.001,0.003,0.002,0,0,4.388,5.16
0,3.58,2.65,0.327,0.022,0.007,0.173,0.034,0.011,0.008,0.008,0.037,0.022,0.007,0.001,0.003,0.002,0,0,4.392,5.16
0,3.62,2.72,0.324,0.023,0.008,0.168,0.033,0.01,0.007,0.007,0.04,0.022,0.008,0.001,0.003,0.001,0,0,4.454,5.16
0,3.69,2.7,0.325,0.023,0.008,0.17,0.034,0.01,0.008,0.008,0.039,0.022,0.007,0.001,0.003,0.002,0,0,4.507,5.16
1,3.58,2.64,0.327,0.023,0.008,0.161,0.035,0.01,0.008,0.008,0.039,0.023,0.007,0.001,0.003,0.002,0,0,4.386,5.16
1,3.61,2.64,0.325,0.023,0.007,0.16,0.035,0.01,0.008,0.008,0.036,0.022,0.007,0.001,0.003,0.001,0,0,4.416,5.16
1,3.57,2.6,0.327,0.023,0.008,0.161,0.035,0.01,0.008,0.008,0.039,0.022,0.006,0.001,0.003,0.002,0,0,4.36,5.16
1,3.57,2.64,0.327,0.023,0.008,0.159,0.035,0.01,0.008,0.008,0.04,0.022,0.006,0.001,0.003,0.002,0,0,4.377,5.16
1,3.59,2.64,0.327,0.023,0.009,0.157,0.035,0.01,0.008,0.008,0.038,0.022,0.006,0.001,0.003,0.002,0,0,4.395,5.16
1,3.62,2.71,0.33,0.023,0.009,0.144,0.035,0.011,0.008,0.008,0.038,0.023,0.007,0.001,0.003,0.002,0,0,4.444,5.16
0,3.56,2.59,0.339,0.026,0.008,0.16,0.037,0.011,0.008,0.007,0.036,0.02,0.008,0.001,0.003,0.001,0,0,4.348,5.16
0,3.53,2.58,0.334,0.026,0.007,0.16,0.037,0.011,0.007,0.007,0.032,0.019,0.008,0.001,0.003,0,0,0,4.251,5.16
0,3.56,2.63,0.341,0.026,0.008,0.16,0.038,0.011,0.008,0.007,0.037,0.02,0.008,0.001,0.003,0.002,0,0,4.364,5.16
1,3.55,2.6,0.339,0.026,0.008,0.162,0.037,0.011,0.007,0.007,0.035,0.02,0.007,0.001,0.003,0.002,0,0,4.338,5.16
